Frame,Depth_mm
1,82.39999791840091
2,82.39999791840091
3,82.39999791840091
4,82.39999791840091
5,82.39999791840091
6,82.39999791840091
7,82.39999791840091
8,82.39999791840091
9,82.39999791840091
10,82.39999791840091
11,82.39999791840091
12,82.39999791840091
13,82.39999791840091
14,82.39999791840091
15,82.39999791840091
16,82.39999791840091
17,82.39999791840091
18,82.39999791840091
19,82.39999791840091
20,82.39999791840091
21,82.39999791840091
22,82.39999791840091
23,82.39999791840091
24,82.39999791840091
25,82.39999791840091
26,82.39999791840091
27,82.39999791840091
28,82.39999791840091
29,82.39999791840091
30,82.39999791840091
31,82.39999791840091
32,82.39999791840091
33,82.39999791840091
34,82.39999791840091
35,82.39999791840091
36,82.39999791840091
37,82.39999791840091
38,82.39999791840091
39,82.39999791840091
40,82.39999791840091
41,82.39999791840091
42,82.39999791840091
43,82.39999791840091
44,82.39999791840091
45,82.39999791840091
46,82.39999791840091
47,82.39999791840091
48,82.39999791840091
49,82.39999791840091
50,82.39999791840091
51,82.39999791840091
52,82.39999791840091
53,82.39999791840091
54,82.39999791840091
55,82.39999791840091
56,82.39999791840091
57,82.39999791840091
58,82.39999791840091
59,82.39999791840091
60,82.39999791840091
61,82.39999791840091
62,82.39999791840091
63,82.39999791840091
64,82.39999791840091
65,82.39999791840091
66,82.39999791840091
67,82.39999791840091
68,82.39999791840091
69,82.39999791840091
70,82.39999791840091
71,82.39999791840091
72,82.39999791840091
73,82.39999791840091
74,82.39999791840091
75,82.39999791840091
76,82.39999791840091
77,82.39999791840091
78,82.39999791840091
79,82.39999791840091
80,82.39999791840091
81,82.39999791840091
82,82.39999791840091
83,82.39999791840091
84,82.39999791840091
85,82.39999791840091
86,82.39999791840091
87,82.39999791840091
88,82.39999791840091
89,82.39999791840091
90,82.39999791840091
91,82.39999791840091
92,82.39999791840091
93,82.39999791840091
94,82.39999791840091
95,82.39999791840091
96,82.39999791840091
97,82.39999791840091
98,82.39999791840091
99,82.39999791840091
100,82.39999791840091
