Frame,Centre_Depth_mm,ROI_Mean_mm,ROI_Median_mm,ROI_Std_mm,ROI_Min_mm,ROI_Max_mm
82,156.0999960565823,156.16974605482028,156.0999960565823,0.32974499453926875,155.79999606416095,156.9999960338464
83,155.99999605910853,156.16024605506027,156.0999960565823,0.2867061813832687,155.79999606416095,156.9999960338464
84,156.2999960515299,156.2822460519783,156.2999960515299,0.2337660178976741,155.79999606416095,157.0999960313202
85,156.2999960515299,156.29949605154252,156.2999960515299,0.24900754762058494,155.79999606416095,157.0999960313202
86,156.0999960565823,156.2227460534814,156.1999960540561,0.27892998839315397,155.69999606668716,156.9999960338464
87,156.1999960540561,156.23024605329192,156.1999960540561,0.24568442471860402,155.69999606668716,156.8999960363726
88,156.2999960515299,156.28249605197198,156.1999960540561,0.24758228810684033,155.79999606416095,156.8999960363726
89,156.1999960540561,156.18949605432135,156.0999960565823,0.25208851291389367,155.59999606921338,156.8999960363726
90,156.1999960540561,156.21799605360138,156.1999960540561,0.23251053771992006,155.79999606416095,156.9999960338464
91,156.0999960565823,156.14724605538868,156.0999960565823,0.26790271283004974,155.59999606921338,156.8999960363726
92,156.0999960565823,156.15549605518027,156.0999960565823,0.23206547189092971,155.59999606921338,156.8999960363726
93,156.1999960540561,156.21249605374032,156.1999960540561,0.21589412528893387,155.79999606416095,156.8999960363726
94,156.2999960515299,156.29374605168778,156.2999960515299,0.2435862684658924,155.79999606416095,157.19999602879398
95,156.2999960515299,156.31974605103096,156.2999960515299,0.2366960015914484,155.79999606416095,156.9999960338464
96,156.39999604900368,156.37674604959102,156.39999604900368,0.2728011821121111,155.79999606416095,157.19999602879398
97,156.2999960515299,156.35824605005837,156.2999960515299,0.2988397496806189,155.79999606416095,157.19999602879398
98,156.39999604900368,156.51424604611748,156.39999604900368,0.34309797743888176,155.79999606416095,157.6999960161629
99,156.59999604395125,156.5314960456817,156.59999604395125,0.3414663119975546,155.89999606163474,157.49999602121534
100,156.59999604395125,156.5912460441723,156.59999604395125,0.41530666726778487,155.79999606416095,157.7999960136367
