Frame,Centre_Depth_mm,ROI_Mean_mm,ROI_Median_mm,ROI_Std_mm,ROI_Min_mm,ROI_Max_mm
1,155.79999606416095,155.8827460620705,155.79999606416095,0.215507642600882,155.4999960717396,156.39999604900368
2,155.89999606163474,155.9377460606811,155.89999606163474,0.21251551079794156,155.59999606921338,156.59999604395125
3,155.79999606416095,155.92024606112318,155.89999606163474,0.2432341292301936,155.3999960742658,156.69999604142504
4,155.79999606416095,155.8972460617042,155.79999606416095,0.26399178613272717,155.4999960717396,156.59999604395125
5,155.79999606416095,155.93374606078214,155.89999606163474,0.23796534076331774,155.59999606921338,156.69999604142504
6,155.99999605910853,156.07374605724544,155.99999605910853,0.2789811998184338,155.59999606921338,156.9999960338464
7,155.89999606163474,156.04649605793384,155.99999605910853,0.2968299439048119,155.59999606921338,156.8999960363726
8,155.89999606163474,155.99124605932957,155.89999606163474,0.27801378160365225,155.59999606921338,156.79999603889883
9,155.89999606163474,156.01699605867907,155.94999606037163,0.2809061528160439,155.59999606921338,156.79999603889883
10,155.99999605910853,156.07399605723913,155.99999605910853,0.2957916959772018,155.69999606668716,156.8999960363726
11,156.0999960565823,156.1614960550287,156.0999960565823,0.3178369010167084,155.59999606921338,157.0999960313202
12,156.1999960540561,156.22124605351928,156.1999960540561,0.259599525978587,155.79999606416095,156.8999960363726
13,156.0999960565823,156.21174605375927,156.0999960565823,0.3047443282221134,155.69999606668716,157.0999960313202
14,156.1999960540561,156.264246052433,156.1999960540561,0.3026978656629919,155.79999606416095,157.19999602879398
15,156.0999960565823,156.11049605631706,156.0999960565823,0.20406826687434299,155.59999606921338,156.69999604142504
16,156.1999960540561,156.1292460558434,156.0999960565823,0.18249025330958185,155.59999606921338,156.69999604142504
17,156.2999960515299,156.28749605184566,156.2999960515299,0.27800533000948086,155.79999606416095,157.0999960313202
18,156.2999960515299,156.3417460504752,156.2999960515299,0.3020928385586968,155.79999606416095,157.19999602879398
19,156.2999960515299,156.36149604997627,156.2999960515299,0.2818978751695714,155.79999606416095,157.19999602879398
20,156.39999604900368,156.45374604764584,156.39999604900368,0.3227947076811859,155.79999606416095,157.29999602626776
21,156.1999960540561,156.30499605140358,156.1999960540561,0.33354628945784903,155.79999606416095,157.29999602626776
22,156.0999960565823,156.2449960529193,156.1999960540561,0.2758899859996437,155.69999606668716,157.0999960313202
23,156.1999960540561,156.29774605158673,156.1999960540561,0.30676570171167855,155.69999606668716,157.29999602626776
24,156.2999960515299,156.41174604870685,156.2999960515299,0.36547347087454446,155.79999606416095,157.49999602121534
25,156.39999604900368,156.48299604690692,156.39999604900368,0.3782441862748994,155.79999606416095,157.6999960161629
26,156.39999604900368,156.50199604642694,156.39999604900368,0.3890042456470047,155.89999606163474,157.6999960161629
27,156.2999960515299,156.47624604707744,156.39999604900368,0.3822646279083547,155.79999606416095,157.7999960136367
28,156.2999960515299,156.3737460496668,156.2999960515299,0.30801479754608985,155.79999606416095,157.29999602626776
29,156.2999960515299,156.3627460499447,156.2999960515299,0.34581266238638325,155.79999606416095,157.29999602626776
30,156.0999960565823,156.28574605188987,156.1999960540561,0.31980873410750815,155.79999606416095,157.29999602626776
31,156.2999960515299,156.41299604867527,156.2999960515299,0.38704716277948614,155.79999606416095,157.49999602121534
32,156.2999960515299,156.43799604804371,156.2999960515299,0.3210352845726708,155.89999606163474,157.49999602121534
33,156.39999604900368,156.45874604751953,156.39999604900368,0.3341445245416174,155.89999606163474,157.49999602121534
34,156.39999604900368,156.51674604605432,156.39999604900368,0.32125136325749126,155.89999606163474,157.49999602121534
35,156.2999960515299,156.4447460478732,156.2999960515299,0.4297489249999891,155.79999606416095,157.7999960136367
36,156.1999960540561,156.35499605014047,156.1999960540561,0.3341468684532365,155.79999606416095,157.39999602374155
37,156.2999960515299,156.40474604888368,156.2999960515299,0.37703822736929843,155.79999606416095,157.49999602121534
38,156.2999960515299,156.38224604945208,156.2999960515299,0.3685097410233019,155.79999606416095,157.49999602121534
39,156.1999960540561,156.31874605105622,156.1999960540561,0.2824409064631416,155.79999606416095,157.19999602879398
40,156.2999960515299,156.41599604859948,156.2999960515299,0.3750274748989382,155.79999606416095,157.39999602374155
41,156.2999960515299,156.44924604775952,156.2999960515299,0.39482800372417826,155.79999606416095,157.6999960161629
42,156.2999960515299,156.3947460491363,156.2999960515299,0.33850242459078844,155.89999606163474,157.39999602374155
43,156.39999604900368,156.45174604769636,156.2999960515299,0.3997454446242434,155.79999606416095,157.6999960161629
44,156.39999604900368,156.49574604658483,156.39999604900368,0.35322634859997337,155.79999606416095,157.39999602374155
45,156.1999960540561,156.30199605147936,156.1999960540561,0.3362717517553897,155.79999606416095,157.29999602626776
46,156.2999960515299,156.36224604995732,156.2999960515299,0.3170982666448903,155.79999606416095,157.29999602626776
47,156.1999960540561,156.27124605225617,156.1999960540561,0.2698712843278331,155.69999606668716,157.0999960313202
48,156.1999960540561,156.2899960517825,156.2999960515299,0.26697975932164686,155.69999606668716,157.0999960313202
49,156.0999960565823,156.28274605196566,156.1999960540561,0.32954351662597325,155.79999606416095,157.29999602626776
50,155.99999605910853,156.13649605566025,156.0999960565823,0.3198021707504054,155.79999606416095,156.9999960338464
51,156.0999960565823,156.18924605432767,156.0999960565823,0.2930428611454167,155.69999606668716,157.0999960313202
52,156.0999960565823,156.17674605464344,156.0999960565823,0.28183863474838156,155.69999606668716,156.9999960338464
53,155.99999605910853,156.109746056336,155.99999605910853,0.29376125056192326,155.69999606668716,156.8999960363726
54,155.99999605910853,156.08224605703072,155.99999605910853,0.26226301446338746,155.69999606668716,156.69999604142504
55,156.0999960565823,156.20249605399295,156.0999960565823,0.26480000769700784,155.79999606416095,156.9999960338464
56,156.1999960540561,156.30399605142884,156.2999960515299,0.33310868782205355,155.69999606668716,157.19999602879398
57,156.2999960515299,156.37799604955944,156.2999960515299,0.3451286404270419,155.89999606163474,157.39999602374155
58,156.1999960540561,156.28424605192777,156.1999960540561,0.28280183107341494,155.79999606416095,156.9999960338464
59,156.0999960565823,156.18024605455503,156.0999960565823,0.2658224744233882,155.79999606416095,156.8999960363726
60,156.0999960565823,156.19724605412557,156.0999960565823,0.28639568710127417,155.79999606416095,157.0999960313202
61,156.1999960540561,156.2449960529193,156.1999960540561,0.2886751273022656,155.69999606668716,157.0999960313202
62,156.1999960540561,156.30599605137832,156.1999960540561,0.3391187077544291,155.79999606416095,157.39999602374155
63,156.2999960515299,156.42799604829634,156.39999604900368,0.3247763752473965,155.99999605910853,157.29999602626776
64,156.59999604395125,156.65599604253657,156.59999604395125,0.4142378227377767,155.89999606163474,157.8999960111105
65,156.59999604395125,156.56249604489858,156.59999604395125,0.3593278931976575,155.79999606416095,157.49999602121534
66,156.2999960515299,156.45999604748795,156.2999960515299,0.3695828348226686,155.99999605910853,157.6999960161629
67,156.0999960565823,156.2629960524646,156.1999960540561,0.2606738839236018,155.89999606163474,157.0999960313202
68,156.0999960565823,156.1934960542203,156.0999960565823,0.22074775530639482,155.79999606416095,156.8999960363726
69,156.2999960515299,156.33099605074676,156.2999960515299,0.2791663135998283,155.79999606416095,157.19999602879398
70,156.2999960515299,156.43899604801845,156.34999605026678,0.3479679556267925,155.79999606416095,157.49999602121534
71,156.1999960540561,156.3302460507657,156.1999960540561,0.3050287513641041,155.79999606416095,157.19999602879398
72,156.39999604900368,156.43949604800582,156.39999604900368,0.28774422265510974,155.89999606163474,157.29999602626776
73,156.2999960515299,156.3884960492942,156.2999960515299,0.3441130315439759,155.89999606163474,157.39999602374155
74,156.1999960540561,156.29849605156778,156.1999960540561,0.3194571599594671,155.79999606416095,157.29999602626776
75,156.1999960540561,156.2319960532477,156.1999960540561,0.25766640564006354,155.69999606668716,156.8999960363726
76,156.2999960515299,156.26574605239512,156.1999960540561,0.2587843842249353,155.79999606416095,157.0999960313202
77,156.0999960565823,156.2514960527551,156.1999960540561,0.2555602165227046,155.89999606163474,157.0999960313202
78,156.2999960515299,156.4834960468943,156.2999960515299,0.37978722803318116,155.99999605910853,157.6999960161629
79,156.2999960515299,156.37674604959102,156.2999960515299,0.288170155309115,155.99999605910853,157.19999602879398
80,156.1999960540561,156.32999605077202,156.2999960515299,0.2415488805889465,155.79999606416095,157.0999960313202
81,156.0999960565823,156.16749605487712,156.0999960565823,0.2659333521868653,155.79999606416095,157.0999960313202
